Level,Duration,Game Type,Game Name,Small Blind,Big Blind,Limit 1,Limit 2,Ante,Start Time,Chip Up,Tokens
Round 1,20m,No Limit,Texas Hold 'Em,$100,$200,$100,$200,$0,0:00,no,0
Round 2,20m,No Limit,Texas Hold 'Em,$200,$400,$200,$400,$0,0:20,no,0
Round 3,20m,No Limit,Texas Hold 'Em,$300,$600,$300,$600,$0,0:40,no,0
Break 1,8m,,,,,,,,1:00,no,0
Round 4,20m,No Limit,Texas Hold 'Em,$400,$800,$400,$800,$0,1:08,no,0
Round 5,20m,No Limit,Texas Hold 'Em,$600,"$1,200",$600,"$1,200",$0,1:28,no,0
Round 6,20m,No Limit,Texas Hold 'Em,$800,"$1,600",$800,"$1,600",$0,1:48,no,0
Break 2,8m,,,,,,,,2:08,no,0
Round 7,20m,No Limit,Texas Hold 'Em,"$1,000","$2,000","$1,000","$2,000",$0,2:16,no,0
Round 8,20m,No Limit,Texas Hold 'Em,"$1,200","$2,400","$1,200","$2,400",$0,2:36,no,0
Round 9,20m,No Limit,Texas Hold 'Em,"$1,500","$3,000","$1,500","$3,000",$0,2:56,no,0
Break 3,8m,,,,,,,,3:16,yes,0
Round 10,25m,No Limit,Texas Hold 'Em,"$2,000","$4,000","$2,000","$4,000",$0,3:24,no,0
Round 11,25m,No Limit,Texas Hold 'Em,"$2,500","$5,000","$2,500","$5,000",$0,3:49,no,0
Break 4,8m,,,,,,,,4:14,no,0
Round 12,25m,No Limit,Texas Hold 'Em,"$3,000","$6,000","$3,000","$6,000",$0,4:22,no,0
Round 13,25m,No Limit,Texas Hold 'Em,"$3,500","$7,000","$3,500","$7,000",$0,4:47,no,0
Break 5,8m,,,,,,,,5:12,yes,0
Round 14,25m,No Limit,Texas Hold 'Em,"$4,000","$8,000","$4,000","$8,000",$0,5:20,no,0
Round 15,25m,No Limit,Texas Hold 'Em,"$5,000","$10,000","$5,000","$10,000",$0,5:45,no,0
Break 6,8m,,,,,,,,6:10,yes,0
Round 16,18m,No Limit,Texas Hold 'Em,"$6,000","$12,000","$6,000","$12,000",$0,6:18,no,0
Round 17,18m,No Limit,Texas Hold 'Em,"$7,000","$14,000","$7,000","$14,000",$0,6:36,no,0
Round 18,18m,No Limit,Texas Hold 'Em,"$8,000","$16,000","$8,000","$16,000",$0,6:54,no,0
Break 7,8m,,,,,,,,7:12,yes,0
Round 19,18m,No Limit,Texas Hold 'Em,"$9,000","$18,000","$9,000","$18,000",$0,7:20,no,0
Round 20,18m,No Limit,Texas Hold 'Em,"$10,000","$20,000","$10,000","$20,000",$0,7:38,no,0
Round 21,18m,No Limit,Texas Hold 'Em,"$15,000","$30,000","$15,000","$30,000",$0,7:56,no,0
Round 22,18m,No Limit,Texas Hold 'Em,"$20,000","$40,000","$20,000","$40,000",$0,8:14,no,0
Round 23,18m,No Limit,Texas Hold 'Em,"$30,000","$60,000","$30,000","$60,000",$0,8:32,no,0
Round 24,18m,No Limit,Texas Hold 'Em,"$40,000","$80,000","$40,000","$80,000",$0,8:50,no,0